Labor Force Statistics from the Current Population Survey,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LNS12000000,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series title:,(Seas) Employment Level,,,,,,,,,,,
Labor force status:,Employed,,,,,,,,,,,
Type of data:,Number in thousands,,,,,,,,,,,
Age:,16 years and over,,,,,,,,,,,
Years:,2012 to 2022,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,141584,141858,142036,141899,142206,142391,142292,142291,143044,143431,143333,143330
2013,143292,143362,143316,143635,143882,143999,144264,144326,144418,143537,144479,144778
2014,145150,145134,145648,145667,145825,146247,146399,146530,146778,147427,147404,147615
2015,148145,148045,148128,148511,148817,148816,148830,149181,148826,149246,149463,150128
2016,150653,150939,151218,151074,151132,151223,151554,151779,151761,151793,151954,152157
2017,152152,152480,153065,153255,153069,153318,153569,153503,154286,153609,153805,153904
2018,154493,155259,155303,155362,155694,155734,156115,155512,155970,156294,156606,156767
2019,156614,156992,156869,156744,156868,157123,157488,157780,158249,158356,158504,158772
2020,158653,158866,155599,133320,137182,142218,143727,147176,147569,149719,149761,149883
2021,150004,150367,150940,151259,151550,151612,152704,153167,153806,154234,155324,155975
2022,157174,157722,158458,,,,,,,,,
