ST,State,GDP,UnemploymentRate   
AL,Alabama,201848,5.8
AK,Alaska,45395,7.8
AZ,Arizona,347806,6.7
AR,Arkansas,124302,7.3
CA,California,3200908,9.0
CO,Colorado,324940,6.2
CT,Connecticut,276149,8.3
DE,Delaware,74586,7.9
FL,Florida,1121426,7.6
GA,Georgia,562209,6.1
HI,Hawaii,57113,13.9
ID,Idaho,75331,4.8
IL,Illinois,848227,9.3
IN,Indiana,363713,5.9
IA,Iowa,191257,3.8
KS,Kansas,150676,5.2
KY,Kentucky,196054,6.6
LA,Louisiana,232224,8.1
ME,Maine,60755,6.0
MD,Maryland,417343,7.8
MA,Massachusetts,596741,8.2
MI,Michigan,504820,9.4
MN,Minnesota,358502,4.1
MS,Mississippi,105360,8.5
MO,Missouri,293993,5.1
MT,Montana,56696,5.5
NE,Nebraska,132657,3.2
NV,Nevada,173615,11.6
NH,New Hampshire,83726,5.5
NJ,New Jersey,585005,9.6
NM,New Mexico,80538,8.4
NY,New York,1547168,10.6
NC,North Carolina,567716,7.1
ND,North Dakota,57775,4.0
OH,Ohio,616198,8.1
OK,Oklahoma,177394,5.3
OR,Oregon,242068,7.6
PA,Pennsylvania,735193,8.1
RI,Rhode Island,61176,9.0
SC,South Carolina,221441,6.2
SD,South Dakota,56150,3.0
TN,Tennessee,368217,7.3
TX,Texas,1758694,7.3
UT,Utah,170174,4.0
VT,Vermont,33752,4.1
VA,Virginia,544956,6.0
WA,Washington,624641,7.4
WV,West Virginia,56703,8.1
WI,Wisconsin,309506,5.5
WY,Wyoming,38969,7.4
