rank,city,state,pop2022,pop2020,growth,density,aland_sqmi
1,New York City,NY,8930002,8804190,0.00709,29729,300.381
2,Los Angeles,CA,3919973,3898747,0.00271,8359,468.956
3,Chicago,IL,2756546,2746388,0.00185,12124,227.369
4,Houston,TX,2345606,2304580,0.00882,3664,640.194
5,Phoenix,AZ,1640641,1608139,0.01,3169,517.673
6,Philadelphia,PA,1619355,1603797,0.00483,12060,134.279
7,San Antonio,TX,1456069,1434625,0.00742,3002,485.113
8,San Diego,CA,1402838,1386932,0.0057,4305,325.877
9,Dallas,TX,1325691,1304379,0.0081,3902,339.736
10,San Jose,CA,1026700,1013240,0.0066,5774,177.808
11,Austin,TX,996147,961855,0.01751,3114,319.939
12,Jacksonville,FL,975177,949611,0.01328,1305,747.467
13,Fort Worth,TX,954457,918915,0.01897,2762,345.584
14,Columbus,OH,929492,905748,0.01294,4240,219.197
15,Charlotte,NC,903211,874579,0.01611,2940,307.238
16,Indianapolis,IN,901082,887642,0.00751,2492,361.571
17,San Francisco,CA,887711,873965,0.0078,18927,46.903
18,Seattle,WA,762687,737015,0.01712,9095,83.862
19,Denver,CO,738594,715522,0.01587,4818,153.292
20,Washington,DC,707109,689545,0.01258,11566,61.136
21,Nashville,TN,707091,689447,0.01263,1487,475.543
22,Oklahoma City,OK,701266,681054,0.01462,1156,606.445
23,Boston,MA,687257,675647,0.00852,14217,48.339
24,El Paso,TX,684753,678815,0.00435,2660,257.42
25,Portland,OR,666249,652503,0.01042,4994,133.421
26,Las Vegas,NV,653533,641903,0.00898,4610,141.767
27,Louisville,KY,630782,632037,0.00348,2394,263.434
28,Memphis,TN,630348,633104,-0.00218,1986,317.357
29,Detroit,MI,624177,639111,-0.01182,4500,138.715
30,Baltimore,MD,578658,585708,-0.00605,7149,80.947
31,Milwaukee,WI,573700,577222,-0.00306,5965,96.184
32,Albuquerque,NM,568301,564559,0.0033,3036,187.215
33,Fresno,CA,551595,542107,0.00868,4808,114.725
34,Tucson,AZ,547131,542629,0.00413,2299,238.014
35,Sacramento,CA,536635,524943,0.01101,5491,97.73
36,Kansas City,MO,517750,508090,0.00942,1644,314.886
37,Mesa,AZ,517302,504258,0.01277,3746,138.085
38,Atlanta,GA,514457,498715,0.01554,3790,135.737
39,Omaha,NE,501469,486051,0.01561,3557,140.983
40,Colorado Springs,CO,491467,478961,0.01289,2520,195
41,Raleigh,NC,480419,467665,0.01345,3293,145.886
42,Long Beach,CA,467638,466742,0.00096,9224,50.696
43,Virginia Beach,VA,463766,459470,0.00465,1895,244.723
