Year,Rank,TempText,AvgTemp
2022,16,56.4 °F,56.4
2021,8,57.0 °F,57.0
2020,2,57.4 °F,57.4
2019,26,55.7 °F,55.7
2018,21,55.9 °F,55.9
2017,17,56.4 °F,56.4
2016,5,57.2 °F,57.2
2015,11,56.8 °F,56.8
2014,67,54.5 °F,54.5
2013,33,55.4 °F,55.4
2012,1,57.4 °F,57.4
2011,14,56.5 °F,56.5
2010,12,56.8 °F,56.8
2009,81,54.1 °F,54.1
2008,34,55.4 °F,55.4
2007,44,55.2 °F,55.2
2006,10,56.9 °F,56.9
2005,25,55.8 °F,55.8
2004,64,54.6 °F,54.6
2003,105,53.5 °F,53.5
2002,15,56.5 °F,56.5
2001,18,56.3 °F,56.3
2000,86,53.9 °F,53.9
1999,13,56.5 °F,56.5
1998,6,57.2 °F,57.2
1997,70,54.3 °F,54.3
1996,90,53.8 °F,53.8
1995,35,55.4 °F,55.4
1994,37,55.3 °F,55.3
1993,28,55.6 °F,55.6
1992,84,54.0 °F,54.0
1991,3,57.3 °F,57.3
1990,4,57.3 °F,57.3
1989,83,54.0 °F,54.0
1988,58,54.8 °F,54.8
1987,42,55.2 °F,55.2
1986,36,55.4 °F,55.4
1985,27,55.6 °F,55.6
1984,30,55.5 °F,55.5
1983,20,56.0 °F,56.0
1982,55,54.9 °F,54.9
1981,41,55.2 °F,55.2
1980,51,55.0 °F,55.0
1979,24,55.8 °F,55.8
1978,117,53.1 °F,53.1
1977,68,54.4 °F,54.4
1976,110,53.4 °F,53.4
1975,52,55.0 °F,55.0
1974,59,54.8 °F,54.8
1973,19,56.2 °F,56.2
1972,85,53.9 °F,53.9
1971,38,55.3 °F,55.3
1970,69,54.3 °F,54.3
1969,57,54.9 °F,54.9
1968,77,54.1 °F,54.1
1967,118,53.1 °F,53.1
1966,48,55.1 °F,55.1
1965,72,54.3 °F,54.3
1964,63,54.6 °F,54.6
1963,97,53.7 °F,53.7
1962,104,53.5 °F,53.5
1961,49,55.1 °F,55.1
1960,82,54.1 °F,54.1
1959,29,55.5 °F,55.5
1958,127,52.6 °F,52.6
1957,31,55.5 °F,55.5
1956,103,53.6 °F,53.6
1955,60,54.8 °F,54.8
1954,56,54.9 °F,54.9
1953,7,57.1 °F,57.1
1952,22,55.9 °F,55.9
1951,43,55.2 °F,55.2
1950,96,53.7 °F,53.7
1949,9,57.0 °F,57.0
1948,78,54.1 °F,54.1
1947,87,53.9 °F,53.9
1946,32,55.5 °F,55.5
1945,79,54.1 °F,54.1
1944,62,54.7 °F,54.7
1943,89,53.8 °F,53.8
1942,76,54.2 °F,54.2
1941,53,55.0 °F,55.0
1940,138,51.9 °F,51.9
1939,61,54.7 °F,54.7
1938,39,55.3 °F,55.3
1937,66,54.5 °F,54.5
1936,106,53.5 °F,53.5
1935,113,53.1 °F,53.1
1934,114,53.1 °F,53.1
1933,71,54.3 °F,54.3
1932,40,55.2 °F,55.2
1931,23,55.9 °F,55.9
1930,65,54.6 °F,54.6
1929,75,54.2 °F,54.2
1928,99,53.6 °F,53.6
1927,108,53.5 °F,53.5
1926,145,51.3 °F,51.3
1925,109,53.5 °F,53.5
1924,136,52.0 °F,52.0
1923,121,53.0 °F,53.0
1922,100,53.6 °F,53.6
1921,54,55.0 °F,55.0
1920,129,52.3 °F,52.3
1919,88,53.8 °F,53.8
1918,111,53.3 °F,53.3
1917,149,50.8 °F,50.8
1916,131,52.3 °F,52.3
1915,107,53.5 °F,53.5
1914,135,52.1 °F,52.1
1913,50,55.1 °F,55.1
1912,125,52.8 °F,52.8
1911,102,53.6 °F,53.6
1910,98,53.7 °F,53.7
1909,92,53.7 °F,53.7
1908,46,55.1 °F,55.1
1907,119,53.0 °F,53.0
1906,47,55.1 °F,55.1
1905,101,53.6 °F,53.6
1904,147,51.0 °F,51.0
1903,116,53.1 °F,53.1
1902,115,53.1 °F,53.1
1901,128,52.6 °F,52.6
1900,73,54.3 °F,54.3
1899,80,54.1 °F,54.1
1898,45,55.1 °F,55.1
1897,94,53.7 °F,53.7
1896,93,53.7 °F,53.7
1895,112,53.1 °F,53.1
1894,122,53.0 °F,53.0
1893,150,50.8 °F,50.8
1892,133,52.3 °F,52.3
1891,74,54.2 °F,54.2
1890,120,53.0 °F,53.0
1889,124,52.9 °F,52.9
1888,154,49.5 °F,49.5
1887,146,51.0 °F,51.0
1886,144,51.4 °F,51.4
1885,151,50.7 °F,50.7
1884,132,52.3 °F,52.3
1883,152,50.2 °F,50.2
1882,139,51.8 °F,51.8
1881,134,52.2 °F,52.2
1880,123,53.0 °F,53.0
1879,130,52.3 °F,52.3
1878,91,53.7 °F,53.7
1877,126,52.7 °F,52.7
1876,137,52.0 °F,52.0
1875,153,49.5 °F,49.5
1874,142,51.4 °F,51.4
1873,148,50.9 °F,50.9
1872,141,51.4 °F,51.4
1871,143,51.4 °F,51.4
1870,95,53.7 °F,53.7
1869,140,51.7 °F,51.7
