SKU,Date,Transaction_Type,Quantity,Notes
AD-CLC-095,2026-12-01,Purchased,12,Staff discount applied
NK-DNK-090,2026-12-01,Purchased,7,Online order fulfillment
NK-AF1-120,2026-12-02,Purchased,7,Online order fulfillment
VN-OSK-110,2026-12-02,Purchased,8,Shipment arrived with minor box damage
NK-DNK-095,2026-12-02,Sold,3,Walk-in customer purchase
NK-DNK-095,2026-12-03,Purchased,8,Gift purchase with receipt
AD-CLC-110,2026-12-03,Sold,1,Rush order from supplier
NK-AF1-120,2026-12-03,Sold,2,Gift purchase with receipt
NK-AF1-100,2026-12-04,Sold,2,Checked against PO #4821
NK-CTZ-100,2026-12-04,Sold,2,Return processed separately
AD-CMP-110,2026-12-04,Purchased,6,Weekend sale transaction
NK-CTZ-105,2026-12-05,Sold,1,Staff discount applied
NK-AF1-095,2026-12-06,Purchased,7,Verified by manager on duty
AD-SMB-090,2026-12-06,Sold,3,Rush order from supplier
NK-AJ11-110,2026-12-08,Purchased,5,Customer exchange processed
AD-CMP-120,2026-12-08,Sold,1,Customer exchange processed
NK-CTZ-110,2026-12-09,Sold,3,Gift purchase with receipt
VN-OSK-120,2026-12-09,Purchased,10,Shipment arrived with minor box damage
NK-AJ11-110,2026-12-09,Sold,1,Special order item
AD-CMP-120,2026-12-09,Sold,1,Inventory audit adjustment
VN-OSK-090,2026-12-10,Sold,3,Gift purchase with receipt
AD-CMP-100,2026-12-10,Sold,3,Shipped from warehouse
AD-SMB-100,2026-12-11,Sold,2,Checked against PO #4821
NK-DNK-100,2026-12-11,Sold,2,Walk-in customer purchase
AD-CMP-105,2026-12-11,Sold,3,Holiday season restock
NK-AF1-105,2026-12-12,Sold,2,Shipment arrived with minor box damage
NK-CTZ-100,2026-12-12,Purchased,5,Shipped from warehouse
AD-CLC-100,2026-12-13,Purchased,6,Staff discount applied
VN-OSK-110,2026-12-14,Sold,3,Online order fulfillment
NK-AJ11-120,2026-12-14,Sold,1,Awaiting customer pickup
NK-AJ11-095,2026-12-14,Sold,2,Online order fulfillment
NK-AJ11-120,2026-12-15,Sold,3,Awaiting customer pickup
NK-CTZ-090,2026-12-15,Sold,1,Vendor delivery confirmed
NK-AJ11-110,2026-12-15,Sold,3,Shipment arrived with minor box damage
AD-SMB-115,2026-12-15,Sold,3,Loyalty member transaction
NK-SB-110,2026-12-15,Sold,1,Walk-in customer purchase
AD-SMB-095,2026-12-16,Sold,3,Loyalty member transaction
AD-CMP-100,2026-12-16,Sold,3,Awaiting customer pickup
VN-OSK-120,2026-12-16,Sold,1,Return processed separately
AD-SMB-100,2026-12-16,Purchased,4,Return processed separately
NK-DNK-090,2026-12-16,Sold,1,Weekend sale transaction
NK-CTZ-100,2026-12-16,Purchased,4,Shipped from warehouse
AD-SMB-110,2026-12-17,Sold,3,Vendor delivery confirmed
AD-SMB-100,2026-12-18,Sold,1,Walk-in customer purchase
NK-AF1-110,2026-12-18,Sold,3,Gift purchase with receipt
VN-OSK-120,2026-12-19,Sold,2,Phone order placed earlier
NK-AF1-110,2026-12-19,Sold,2,Awaiting customer pickup
AD-CMP-100,2026-12-19,Purchased,9,Loyalty member transaction
AD-SMB-090,2026-12-19,Purchased,9,Loyalty member transaction
AD-CMP-105,2026-12-19,Sold,3,Phone order placed earlier
NK-CTZ-095,2026-12-20,Purchased,7,Shipment arrived with minor box damage
VN-OSK-120,2026-12-20,Sold,1,Gift purchase with receipt
NK-AF1-090,2026-12-20,Sold,3,Holiday season restock
NK-AF1-110,2026-12-20,Purchased,9,Customer exchange processed
NK-AJ11-095,2026-12-20,Purchased,11,Rush order from supplier
NK-AF1-100,2026-12-21,Purchased,12,Shipment arrived with minor box damage
AD-CLC-105,2026-12-21,Purchased,4,Shipment arrived with minor box damage
AD-CLC-095,2026-12-21,Purchased,10,Staff discount applied
NK-AJ11-095,2026-12-21,Sold,2,Walk-in customer purchase
AD-CMP-100,2026-12-21,Sold,3,Awaiting customer pickup
AD-CLC-130,2026-12-21,Sold,3,Customer exchange processed
NK-AJ11-100,2026-12-21,Purchased,9,Gift purchase with receipt
AD-SMB-105,2026-12-21,Sold,3,Requested by floor supervisor
